title,score,year
Weiß Kreuz,6.67,1998.0
Fantastic Children,7.49,2004.0
Gokujou Seitokai,6.91,2005.0
Mushishi,8.65,2005.0
Koukaku Kidoutai: Stand Alone Complex,8.42,2002.0
Karin,7.1,2005.0
Okusama wa Joshikousei (TV),6.3,2005.0
To Heart 2,6.47,2005.0
To Heart,6.59,1999.0
Tide-Line Blue,6.57,2005.0
Ginban Kaleidoscope,7.29,2005.0
Aria the Animation,7.68,2005.0
Sousei no Aquarion,7.08,2005.0
Ueki no Housoku,7.71,2005.0
Yu☆Gi☆Oh! Duel Monsters,7.51,2000.0
Yu☆Gi☆Oh! Duel Monsters GX,7.22,2004.0
Kurau Phantom Memory,7.27,2004.0
Damekko Doubutsu,7.22,2005.0
Kino no Tabi: The Beautiful World,8.28,2003.0
Girls Bravo: Second Season,6.59,2005.0
Ichigo Mashimaro,7.62,2005.0
Kamichu!,7.35,2005.0
Paniponi Dash!,7.42,2005.0
Bakuretsu Hunters,6.64,1995.0
Yami to Boushi to Hon no Tabibito,6.5,2003.0
Doraemon,7.4,1973.0
Fushigiboshi no☆Futagohime,7.28,2005.0
Glass no Kamen,7.33,1984.0
Tottoko Hamtarou,7.02,2000.0
I My Me! Strawberry Eggs,6.73,2001.0
Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,5.77,2004.0
Kidou Shinsengumi Moeyo Ken TV,6.12,2005.0
Keroro Gunsou,7.7,2004.0
Mahou no Princess Minky Momo,6.91,1982.0
Mahoraba: Heartful Days,7.28,2005.0
Mermaid Melody Pichi Pichi Pitch,7.21,2003.0
Otogizoushi,6.9,2004.0
Pokemon,7.41,1997.0
Saishuu Heiki Kanojo,7.13,2002.0
Bishoujo Senshi Sailor Moon,7.75,1992.0
Bishoujo Senshi Sailor Moon S,7.91,1994.0
Sensei no Ojikan: Dokidoki School Hours,6.64,2004.0
Slayers,7.72,1995.0
Slayers Next,8.01,1996.0
Shin Tenchi Muyou!,6.87,1997.0
Mousou Kagaku Series: Wandaba Style,5.97,2003.0
Wind: A Breath of Heart (TV),5.92,2004.0
Yu☆Gi☆Oh!,7.25,1998.0
Grappler Baki: Saidai Tournament-hen,7.48,2001.0
Digimon Adventure,7.78,1999.0
Yami no Matsuei,7.01,2000.0
Koutetsu Tenshi Kurumi,6.73,1999.0
Koutetsu Tenshi Kurumi 2,6.26,2001.0
Major S2,8.17,2006.0
Sakura Taisen,6.84,2000.0
DNA²,6.62,1994.0
The Big O,7.53,1999.0
Bubblegum Crisis Tokyo 2040,7.08,1998.0
Musekinin Kanchou Tylor,7.83,1993.0
Saber Marionette J,7.33,1996.0
Magikano,6.3,2006.0
Kagi Hime Monogatari: Eikyuu Alice Rondo,6.11,2006.0
Battle Programmer Shirase,6.84,2003.0
Kogepan,6.75,2001.0
Sexy Commando Gaiden: Sugoi yo!! Masaru-san,7.6,1998.0
Noein: Mou Hitori no Kimi e,7.55,2005.0
Ayakashi: Japanese Classic Horror,7.37,2006.0
Hanbun no Tsuki ga Noboru Sora,7.44,2006.0
Ginga Nagareboshi Gin,8.02,1986.0
Kage kara Mamoru!,6.56,2006.0
Amaenaide yo!!,6.41,2005.0
PopoloCrois,6.78,2003.0
Mugen no Ryvius,7.4,1999.0
Jinzou Ningen Kikaider The Animation,6.98,2000.0
Legend of Duo,4.83,2004.0
Futari wa Precure,7.12,2004.0
Mahou no Stage Fancy Lala,7.14,1998.0
Tenshi ni Narumon!,6.76,1999.0
Kazemakase Tsukikage Ran,7.09,2000.0
Otogi Juushi Akazukin,6.92,2006.0
Popotan,6.26,2003.0
Platonic Chain,5.75,2002.0
PetoPeto-san,6.48,2005.0
Onmyou Taisenki,7.12,2004.0
Okusama wa Mahou Shoujo,6.31,2005.0
Nurse Angel Ririka SOS,6.92,1995.0
Juubee Ninpuuchou: Ryuuhougyoku-hen,6.65,2003.0
Takahashi Rumiko Gekijou Ningyo no Mori,7.01,2003.0
Night Walker: Mayonaka no Tantei,6.89,1998.0
Shichinin no Nana,6.72,2002.0
Mouse,5.97,2003.0
Mamotte Shugogetten!,6.63,1998.0
Major S1,8.2,2004.0
Mahoutsukai Tai! (TV),6.72,1999.0
Legend of Basara,7.27,1998.0
Koi Kaze,6.98,2004.0
Juubee-chan: Lovely Gantai no Himitsu,6.67,1999.0
Juubee-chan 2: Siberia Yagyuu no Gyakushuu,6.82,2004.0
Iketeru Futari,6.51,1999.0
Haunted Junction,6.63,1997.0
Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,6.08,2004.0
Hanaukyou Maid-tai: La Verite,6.74,2004.0
Galaxy Angel Z,7.15,2002.0
Galaxy Angel 3,7.27,2002.0
Galaxy Angel 4,7.19,2004.0
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,7.92,2005.0
Kashimashi: Girl Meets Girl,6.61,2006.0
Koi Koi 7,5.72,2005.0
Lamune,6.78,2005.0
Lemon Angel Project,6.49,2006.0
Sentimental Journey,6.39,1998.0
Shadow Skill: Eigi,7.06,1998.0
Otogi Story Tenshi no Shippo,6.49,2001.0
Tenshi no Shippo Chu!,6.51,2003.0
To Heart: Remember My Memories,6.36,2004.0
Tokyo Mew Mew,7.11,2002.0
Uta∽Kata,6.65,2004.0
Kyuuketsuhime Miyu (TV),7.12,1997.0
Yawara!,7.49,1989.0
Burn Up Scramble,6.13,2004.0
Canvas 2: Nijiiro no Sketch,6.7,2005.0
Tenchi Muyou!,7.42,1995.0
Comic Party Revolution,6.44,2005.0
Patapata Hikousen no Bouken,7.53,2002.0
Mujin Wakusei Survive,7.72,2003.0
Rec,7.26,2006.0
Zoids Genesis,7.19,2005.0
High School! Kimengumi,7.31,1985.0
Yume de Aetara (TV),6.32,1998.0
Princess Tutu,8.14,2002.0
Kingyo Chuuihou!,7.13,1991.0
Hiatari Ryoukou!,7.02,1987.0
MÄR,7.24,2005.0
Bishoujo Senshi Sailor Moon R,7.73,1993.0
Trouble Chocolate,6.47,1999.0
Nanami-chan,5.96,2004.0
Binchou-tan,7.13,2006.0
Bomberman Jetters,6.9,2002.0
Yuki no Joou (TV),6.96,2005.0
Zoids,7.37,1999.0
Zoids Shinseiki/Zero,7.32,2001.0
Ginyuu Mokushiroku Meine Liebe Wieder,6.62,2006.0
Nanaka 6/17,6.55,2003.0
Gasaraki,6.62,1998.0
Miami Guns,6.42,2000.0
Pugyuru,5.77,2004.0
Shinigami no Ballad.,6.88,2006.0
Ergo Proxy,7.9,2006.0
Oniisama e...,7.86,1991.0
Yomigaeru Sora: Rescue Wings,7.34,2006.0
Kokoro Toshokan,6.53,2001.0
NieA Under 7,6.86,2000.0
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.51,2004.0
Android Ana Maico 2010,6.42,1998.0
Chikyuu Shoujo Arjuna,6.75,2001.0
Dragon Ball Z,8.2,1989.0
Tactical Roar,6.37,2006.0
Chicchana Yukitsukai Sugar,7.07,2001.0
Ginsoukikou Ordian,5.68,2000.0
Choujuushin Gravion,6.37,2002.0
Sister Princess: Re Pure,6.28,2002.0
Sister Princess,6.38,2001.0
Narutaru: Mukuro Naru Hoshi Tama Taru Ko,5.97,2003.0
Narue no Sekai,6.51,2003.0
Colorful,5.89,1999.0
Kiba,7.28,2006.0
School Rumble Ni Gakki,7.97,2006.0
Suzumiya Haruhi no Yuuutsu,7.82,2006.0
Gakuen Heaven,6.44,2006.0
Gokinjo Monogatari,7.69,1995.0
Ouran Koukou Host Club,8.16,2006.0
Soul Link,6.08,2006.0
Strawberry Panic,7.26,2006.0
Utawarerumono,7.61,2006.0
Air Gear,7.48,2006.0
Gunparade Orchestra,5.83,2005.0
Digimon Savers,6.97,2006.0
Makai Senki Disgaea,6.7,2006.0
xxxHOLiC,7.97,2006.0
Joshikousei: Girl's High,6.56,2006.0
Kikou Senki Dragonar,6.72,1987.0
Mahou Shoujo-tai Arusu,7.03,2004.0
.hack//Roots,6.85,2006.0
Digimon Tamers,7.65,2001.0
Street Fighter II V,7.05,1995.0
Nana,8.57,2006.0
Zegapain,7.28,2006.0
Simoun,7.41,2006.0
Aa! Megami-sama! Sorezore no Tsubasa,7.53,2006.0
Amaenaide yo!! Katsu!!,6.61,2006.0
Megami Kouhosei,6.31,2000.0
Black Lagoon,8.03,2006.0
Yuusha-Ou GaoGaiGar,7.83,1997.0
Princess Princess,6.97,2006.0
Geneshaft,6.28,2001.0
Himawari!,6.29,2006.0
Ninkuu,7.01,1995.0
Kakutou Bijin Wulong,6.54,2005.0
Ike! Ina-chuu Takkyuu-bu,7.49,1995.0
Ginga Densetsu Weed,7.23,2005.0
Tokkou,6.51,2006.0
Gintama,8.93,2006.0
Ray The Animation,6.59,2006.0
Transformers: Choujin Master Force,6.66,1988.0
Transformers: The☆Headmasters,6.42,1987.0
Tatakae! Chou Robot Seimeitai Transformers Victory,6.68,1989.0
Transformers Superlink,6.11,2004.0
Transformers Galaxy Force,6.69,2005.0
Seisenshi Dunbine,7.06,1983.0
Densetsu Kyojin Ideon,7.09,1980.0
Higurashi no Naku Koro ni,7.87,2006.0
Witchblade,7.2,2006.0
Inukami!,7.21,2006.0
Renkin San-kyuu Magical? Pokaan,6.94,2006.0
Nishi no Yoki Majo: Astraea Testament,6.65,2006.0
Yume Tsukai,6.43,2006.0
The Third: Aoi Hitomi no Shoujo,7.29,2006.0
Chibi Maruko-chan,7.65,1990.0
Magical Nyan Nyan Taruto,6.19,2001.0
Juu Ou Sei,7.17,2006.0
Daikuu Maryuu Gaiking,6.63,1976.0
Saiunkoku Monogatari,7.87,2006.0
Heat Guy J,7.11,2002.0
Shin Chou Kyou Ryo: Condor Hero,7.29,2001.0
Shin Chou Kyou Ryo: Condor Hero II,7.23,2005.0
Virtua Fighter,7.09,1995.0
Aria the Natural,8.16,2006.0
Hit wo Nerae!,5.45,2004.0
Yoshinaga-san Chi no Gargoyle,6.75,2006.0
Crayon Shin-chan,7.81,1992.0
Hokuto no Ken,7.96,1984.0
Kakutou Bijin Wulong: Rebirth,6.84,2006.0
Tsubasa Chronicle 2nd Season,7.57,2006.0
Yokoyama Mitsuteru Sangokushi,7.35,1991.0
Astro Boy: Tetsuwan Atom,7.09,2003.0
Glass no Kantai: La Legende du Vent de l'Univers,6.51,2006.0
Rikujou Bouei-tai Mao-chan,6.33,2002.0
Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi The Animation,6.01,2005.0
Kamisama Kazoku,7.09,2006.0
Dual! Parallel Lun-Lun Monogatari,7.05,1999.0
Bishoujo Senshi Sailor Moon: Sailor Stars,7.95,1996.0
Blue Seed,6.98,1994.0
Uchuu Kaizoku Captain Herlock,7.68,1978.0
Star Ocean EX,6.58,2001.0
Le Chevalier D'Eon,7.16,2006.0
Majutsushi Orphen,7.07,1998.0
Majutsushi Orphen: Revenge,6.75,1999.0
Honoo no Mirage,6.48,2002.0
Kaikan Phrase,7.33,1999.0
Generator Gawl,6.84,1998.0
Kachou Ouji,6.94,1999.0
Patalliro Saiyuuki!,6.47,2005.0
Saint Beast: Seijuu Kourin-hen,5.96,2003.0
Mizuiro Jidai,7.0,1996.0
Elf wo Karu Mono-tachi,6.96,1996.0
Elf wo Karu Mono-tachi II,6.97,1997.0
The SoulTaker: Tamashii-gari,6.32,2001.0
Bobobo-bo Bo-bobo,7.5,2003.0
Ippatsu Kiki Musume,6.18,1999.0
Oruchuban Ebichu,7.36,1999.0
Nekojiru Gekijou Jirujiru Original,6.46,1999.0
Touch,7.98,1985.0
Kishin Houkou Demonbane (TV),6.52,2006.0
Chou Denji Robo Combattler V,6.72,1976.0
Chou Denji Machine Voltes V,7.42,1977.0
Love Get Chu,6.49,2006.0
Hikari to Mizu no Daphne,6.74,2004.0
Ningen Kousaten,6.3,2003.0
Kenran Butou Sai: The Mars Daybreak,7.12,2004.0
Kimagure Orange☆Road,7.5,1987.0
Macross,7.88,1982.0
Oishinbo,7.02,1988.0
Lime-iro Senkitan,5.85,2003.0
Samurai Girl Real Bout High School,5.9,2001.0
Shinkon Gattai Godannar!!,6.62,2003.0
Shinkon Gattai Godannar!! 2nd Season,6.88,2004.0
Senkaiden Houshin Engi,7.05,1999.0
Mermaid Melody Pichi Pichi Pitch Pure,7.23,2004.0
Bouken Ou Beet Excellion,6.68,2005.0
Figure 17: Tsubasa & Hikaru,7.19,2001.0
UFO Princess Valkyrie,6.68,2002.0
UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku,6.9,2003.0
Digimon Frontier,7.17,2002.0
Tenchi Muyou! GXP,7.14,2002.0
Betterman,6.58,1999.0
Mushrambo,6.93,2000.0
Medarot,7.1,1999.0
Monkey Magic,5.92,1998.0
Hachimitsu to Clover II,8.18,2006.0
Kaze no Youjinbou,7.14,2001.0
Choujuushin Gravion Zwei,6.62,2004.0
Final Fantasy: Unlimited,6.17,2001.0
Maze☆Bakunetsu Jikuu (TV),6.59,1997.0
Neo Ranga,6.53,1998.0
Mahou Senshi Louie,7.14,2001.0
Samurai Gun,5.92,2004.0
Slayers Try,7.8,1997.0
Metal Fighter Miku,6.06,1994.0
Gakuen Senki Muryou,6.96,2001.0
Hyper Police,6.94,1997.0
Lost Universe,6.99,1998.0
Battle Athletess Daiundoukai (TV),6.85,1997.0
Momoiro Sisters,6.11,1998.0
Eden's Bowy,6.44,1999.0
Happy Seven: The TV Manga,6.22,2005.0
Coyote Ragtime Show,6.61,2006.0
